epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.1,1.4388234496222603,0.47117777777777775,1.3005993221282959,0.5772
2,0.0993844170297569,0.9641585145632426,0.6573333333333333,1.2373008682250977,0.6066
3,0.09755282581475769,0.7867207853317261,0.7205555555555555,0.8663494834899902,0.7056
4,0.0945503262094184,0.6679198602994283,0.7671777777777777,0.8848388390541077,0.7026
5,0.0904508497187474,0.5894104030185275,0.7955333333333333,0.6382171374320984,0.7796
6,0.08535533905932739,0.5325038328170776,0.8158,0.5960220950126648,0.8006
7,0.07938926261462367,0.48112685340245565,0.8352666666666667,0.551712990283966,0.8162
8,0.07269952498697735,0.4396267747984992,0.8482444444444445,0.5618423900604248,0.8168
9,0.06545084971874739,0.40695047941207885,0.8606,0.5133496101379394,0.8296
10,0.05782172325201156,0.37116860525343154,0.8739555555555556,0.4916589321136475,0.8342
11,0.05000000000000001,0.3447764028125339,0.8799333333333333,0.49662950277328494,0.8436
12,0.04217827674798848,0.3148103199164073,0.8914888888888889,0.4644042818069458,0.8506
13,0.03454915028125264,0.28486712345547144,0.9012666666666667,0.40016210169792177,0.8676
14,0.027300475013022667,0.2674188570711348,0.9072,0.3992962294101715,0.869
15,0.020610737385376353,0.23198214586310917,0.9202222222222223,0.3767079540252686,0.8792
16,0.014644660940672629,0.2132149232917362,0.9266,0.3777273983955383,0.8834
17,0.009549150281252633,0.19406722394360437,0.9319333333333333,0.3427729573726654,0.8906
18,0.005449673790581611,0.17561125508679284,0.9401777777777778,0.3316093939304352,0.8948
19,0.0024471741852423235,0.1658330727842119,0.9441777777777778,0.32473250370025636,0.898
20,0.0006155829702431171,0.15962157212363348,0.9470888888888889,0.3235955279827118,0.897
