epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.1,1.579385214636061,0.41457777777777777,1.3100553522109986,0.5464
2,0.0993844170297569,1.0697868656158447,0.6124888888888889,1.0154049919128418,0.636
3,0.09755282581475769,0.8579951968828837,0.6933333333333334,0.8150686829566955,0.7132
4,0.0945503262094184,0.7260409082730611,0.7437111111111111,0.760597690486908,0.7406
5,0.0904508497187474,0.63366897043652,0.7774222222222222,0.7099897998809814,0.75
6,0.08535533905932739,0.5657344641579523,0.8040666666666667,0.6105070560455322,0.7864
7,0.07938926261462367,0.512775378566318,0.8210444444444445,0.5337944888114929,0.819
8,0.07269952498697735,0.4701838113678826,0.8386888888888889,0.5333518362998962,0.8172
9,0.06545084971874739,0.4329022071202596,0.8503333333333334,0.540994622707367,0.8128
10,0.05782172325201156,0.39490529504881966,0.8632666666666666,0.44768704714775087,0.851
11,0.05000000000000001,0.3626615766419305,0.8748444444444444,0.4390993913650513,0.8496
12,0.04217827674798848,0.3313447855207655,0.8846888888888889,0.4533908538818359,0.8522
13,0.03454915028125264,0.3019351447105408,0.8953555555555556,0.3900900512695312,0.8678
14,0.027300475013022667,0.28131533233059774,0.9008666666666667,0.36916543560028076,0.8742
15,0.020610737385376353,0.25303345861434934,0.9121111111111111,0.34619771580696107,0.8848
16,0.014644660940672629,0.23028917795817058,0.9201555555555555,0.34401539306640627,0.8872
17,0.009549150281252633,0.2112808640771442,0.927,0.31956579413414,0.896
18,0.005449673790581611,0.1930534271876017,0.9332666666666667,0.3130100556373596,0.899
19,0.0024471741852423235,0.179286640463935,0.9392,0.30558468594551086,0.9016
20,0.0006155829702431171,0.17271849930286406,0.9414,0.30694232177734376,0.9008
